Address,Price,Sold Date,Agent Phone
"7105 BONTERRA DR, Unincorporated (000), TN","$136,000",2025-11-07,N/A
"1406 BURNSIDE DR, Franklin (263967), TN","$228,000",2025-10-14,N/A
"4034 KATHIE DR, Thompson's Station (718), TN","$67,000",2025-12-15,N/A
"3651 RONSTADT RD, Thompson's Station (718), TN","$6,051,000",2025-12-01,N/A
"1060 BRAYDEN DR, Fairview (255), TN","$89,000",2025-11-13,N/A
"7313 BRANDENBURG CV, Fairview (255), TN","$15,000",2025-12-02,N/A
"846 NOLENMEADE PLACE, Nolensville (535), TN","$12,000",2025-10-28,N/A
"COX PK, Fairview (255), TN",N/A,2025-12-02,N/A
"4031 POPLAR FARMS DR, Franklin (263967), TN","$31,000",2025-10-31,N/A
"8660 BELLADONNA DR, Unincorporated (000), TN","$9,001,000",2025-11-06,N/A
"2026 CEDARMONT DR, Unincorporated (000), TN","$1,000",2025-12-06,N/A
"4786 HARPETH-PEYT RD, Unincorporated (000), TN",N/A,2025-12-04,N/A
"2160 LOUDENSLAGER DR, Spring Hill (701), TN","$30,000",2025-12-15,N/A
"1736 RICHBOURG PARK DR, Brentwood (086), TN","$58,000",2025-10-31,N/A
"2001 LANDRY PLACE, Thompson's Station (718), TN","$1,000",2025-11-17,N/A
"HWY 96 N, Fairview (255), TN",N/A,2025-12-04,N/A
"1231 CHAMPIONSHIP BLVD, Franklin (263967), TN","$1,949,000",2025-11-10,N/A
"3171 SETTING SUN DR 306, Thompson's Station (718), TN","$227,000",2025-12-18,N/A
"9488 ASHFORD PLACE, Brentwood (086), TN","$207,000",2025-11-06,N/A
"215 TAHOE ALLEY, Spring Hill (701), TN","$159,000",2025-12-11,N/A
"3008 BLYTHE MEADOW PVT LN, Unincorporated (000), TN","$2,000",2025-10-24,N/A
"5009 JACKSON LN, Brentwood (086), TN","$15,000",2025-12-08,N/A
"260 WISTERIA DR, Franklin (263967), TN","$31,000",2025-11-20,N/A
"7145 CEDARCREST LN, Fairview (255), TN","$11,000",2025-12-16,N/A
"305 LOCKHART CT, Franklin (263967), TN","$4,000",2025-11-24,N/A
"545 BANCROFT WAY, Franklin (263264), TN","$107,000",2025-10-23,N/A
"5012 EVANGELINE PLACE, Nolensville (535), TN","$61,000",2025-12-15,N/A
"3168 LONG BRANCH CIR, Franklin (263967), TN","$186,000",2025-10-16,N/A
"605 S MARGIN ST, Franklin (263264), TN","$5,000",2025-10-29,N/A
"6719 COMSTOCK RD, Unincorporated (000), TN",N/A,2025-11-25,N/A
"125 DEEJAY DR, Franklin (263264), TN","$37,000",2025-11-24,N/A
